CPU,Price (Euros)
Intel Core i7 8550U 1.8GHz,"1399,00"
Intel Core i3 6006U 2GHz,"735,87"
Intel Core i7 7500U 2.7GHz,"1145,00"
Intel Core i5 7300HQ 2.5GHz,"798,00"
AMD E-Series 7110 1.8GHz,"349,00"
Intel Core i3 7100U 2.4GHz,"705,50"
Intel Core i5 7200U 2.5GHz,"785,00"
Intel Core i5 6200U 2.3GHz,"462,35"
Intel Core i3 6006U 2GHz,"397,00"
Intel Core i7 7500U 2.7GHz,"1729,00"
Intel Core i3 6006U 2GHz,"499,00"
Intel Core i5 7200U 2.5GHz,"1116,99"
Intel Core i7 7700HQ 2.8GHz,"2699,00"
Intel Core i3 6006U 2GHz,"544,15"
Intel Core i7 7500U 2.7GHz,"1280,00"
Intel Celeron Dual Core N3350 1.1GHz,"224,00"
Intel Atom x5-Z8350 1.44GHz,"255,00"
Intel Core i7 7500U 2.7GHz,"949,00"
AMD A10-Series A10-9620P 2.5GHz,"568,90"
Intel Core i3 6006U 2GHz,"617,90"
Intel Celeron Dual Core N3350 2.0GHz,"349,00"
Intel Core i3 7130U 2.7GHz,"630,00"
Intel Core M 6Y75 1.2GHz,"1965,00"
Intel Core i7 7700HQ 2.8GHz,"2999,00"
Intel Core i5 7300HQ 2.5GHz,"839,00"
Intel Core i5 8250U 1.6GHz,"1599,00"
Intel Core i5 7300U 2.6GHz,"959,00"
Intel Core i5 7200U 2.5GHz,"739,00"
Intel Pentium Quad Core N4200 1.1GHz,"344,00"
Intel Core i5 7200U 2.5GHz,"990,00"
Intel Core i5 7440HQ 2.8GHz,"1860,99"
Intel Pentium Quad Core N3710 1.6GHz,"389,00"
AMD A9-Series A9-9420 3GHz,"649,00"
Intel Core i5 7200U 2.5GHz,"830,00"
Intel Core i5 8250U 1.6GHz,"685,00"
Intel Atom x5-Z8350 1.44GHz,"249,00"
Intel Core i7 7500U 2.7GHz,"1865,00"
Intel Core i7 6820HK 2.7GHz,"2663,00"
Intel Core i7 7820HK 2.9GHz,"2729,00"
Intel Core i7 7500U 2.7GHz,"749,01"
Intel Celeron Quad Core N3450 1.1GHz,"389,00"
Intel Core i5 7300U 2.6GHz,"1008,52"
Intel Core i3 7100U 2.4GHz,"719,00"
Intel Core i7 7600U 2.8GHz,"1537,39"
Intel Celeron Dual Core N3060 1.6GHz,"295,00"
Intel Core i7 6820HK 2.7GHz,"2349,00"
Intel Core i7 7700HQ 2.8GHz,"1498,00"
Intel Core i7 6600U 2.6GHz,"1673,00"
Intel Core i7 8550U 1.8GHz,"609,00"
Intel Core i5 7300HQ 2.5GHz,"1770,00"
Intel Core i5 7200U 2.5GHz,"739,00"
AMD A12-Series 9720P 3.6GHz,"949,00"
Intel Core M 7Y30 1.0GHz,"603,00"
Intel Core i7 7700HQ 2.8GHz,"1699,00"
Intel Core i3 6006U 2GHz,"529,00"
Intel Core i3 6100U 2.3GHz,"459,00"
Intel Core i7 7500U 2.7GHz,"2025,00"
Intel Core i5 7300HQ 2.5GHz,"1474,00"
Intel Core i5 7200U 2.5GHz,"1670,00"
Intel Core i7 7700HQ 2.8GHz,"1763,00"
Intel Core i7 7500U 2.7GHz,"1219,00"
Intel Core i3 7100U 2.4GHz,"668,48"
Intel Celeron Quad Core N3450 1.1GHz,"329,00"
Intel Core i7 6820HK 2.7GHz,"2199,00"
Intel Core i3 6006U 2GHz,"465,00"
Intel Core i7 7700HQ 2.8GHz,"2299,00"
Intel Core i7 6500U 2.5GHz,"1399,00"
Intel Core i5 7200U 2.5GHz,"564,00"
Intel Core i7 7700HQ 2.8GHz,"1299,00"
Intel Pentium Quad Core N3710 1.6GHz,"349,00"
Intel Xeon E3-1535M v6 3.1GHz,"4899,00"
Intel Core i7 6700HQ 2.6GHz,"879,01"
Intel Core i3 6006U 2.0GHz,"443,90"
Intel Core i3 6006U 2.0GHz,"359,00"
Intel Core i5 7300U 2.6GHz,"869,00"
Intel Core i7 7700HQ 2.8GHz,"1168,00"
Intel Core i5 7200U 2.5GHz,"569,00"
Intel Core i7 7500U 2.7GHz,"1389,00"
Intel Core i7 7700HQ 2.8GHz,"2267,86"
Intel Celeron Quad Core N3160 1.6GHz,"379,00"
Intel Core i5 7300U 2.6GHz,"1124,00"
Intel Core i5 6200U 2.3GHz,"1465,00"
Intel Core i5 8250U 1.6GHz,"776,00"
Intel Core i5 7200U 2.5GHz,"799,00"
Intel Core i5 6200U 2.3GHz,"932,00"
Intel Core i7 7500U 2.7GHz,"899,00"
Intel Atom x5-Z8350 1.44GHz,"239,00"
Intel Core i5 7200U 2.5GHz,"468,00"
Intel Core i5 7200U 2.5GHz,"639,01"
Intel Core i7 7700HQ 2.8GHz,"1820,00"
Intel Core i7 7500U 2.7GHz,"1900,00"
Intel Core i7 7700HQ 2.8GHz,"1479,00"
Intel Core i5 8250U 1.6GHz,"829,00"
Intel Core i3 6006U 2GHz,"579,00"
Intel Celeron Dual Core N3350 1.1GHz,"399,00"
Intel Core i5 7300HQ 2.5GHz,"906,62"
Intel Core i5 8250U 1.6GHz,"1869,00"
Intel Celeron Dual Core N3060 1.6GHz,"249,00"
Intel Core i7 7500U 2.7GHz,"1757,42"
Intel Core i7 7700HQ 2.8GHz,"2399,00"
Intel Core i7 7700HQ 2.8GHz,"1109,00"
AMD A9-Series 9420 3GHz,"520,90"
Intel Core i7 7500U 2.7GHz,"2450,00"
Intel Core i7 7700HQ 2.8GHz,"1169,00"
Intel Core i3 6006U 2GHz,"450,00"
Intel Celeron Dual Core N3060 1.6GHz,"274,00"
Intel Core i5 7200U 2.5GHz,"919,00"
Intel Core i7 7700HQ 2.8GHz,"2599,00"
Intel Core i5 6200U 2.3GHz,"1213,00"
Intel Core i7 7500U 2.7GHz,"1584,00"
Intel Core i7 6820HK 2.7GHz,"2799,00"
Intel Core i5 7300HQ 2.5GHz,"709,00"
Intel Core i5 8250U 1.6GHz,"1449,90"
Intel Core i7 7700HQ 2.8GHz,"1191,80"
Intel Core i3 6006U 2GHz,"364,90"
Intel Core i5 7200U 2.5GHz,"1064,00"
Intel Core i7 8550U 1.8GHz,"919,00"
Intel Core i7 8550U 1.8GHz,"1135,00"
Intel Core i7 6700HQ 2.6GHz,"1196,00"
Intel Core i7 7700HQ 2.8GHz,"3147,37"
Intel Core i5 6300U 2.4GHz,"1229,00"
Intel Celeron Dual Core N3350 1.1GHz,"419,00"
Intel Core i5 6200U 2.3GHz,"535,00"
Intel Core i3 6006U 2GHz,"539,00"
Intel Core i7 7700HQ 2.8GHz,"1486,77"
Intel Core i3 6100U 2.1GHz,"498,00"
Intel Core i5 7200U 2.5GHz,"955,00"
Intel Core i7 7500U 2.7GHz,"745,00"
Intel Core i5 7200U 2.5GHz,"1258,00"
Intel Core i3 6006U 2GHz,"412,00"
Intel Core i7 7600U 2.8GHz,"1867,85"
Intel Core i5 7200U 2.5GHz,"817,95"
Intel Core i5 7200U 2.5GHz,"1034,00"
AMD E-Series E2-9000 2.2GHz,"349,00"
Intel Core i3 7100U 2.4GHz,"699,00"
Intel Core i7 7700HQ 2.8GHz,"1294,00"
Intel Core i5 7200U 2.5GHz,"1135,00"
Intel Celeron Dual Core N3350 1.1GHz,"495,00"
Intel Core i7 8550U 1.8GHz,"2299,00"
Intel Core i5 7300HQ 2.5GHz,"1299,00"
Intel Core i5 7300HQ 2.5GHz,"997,90"
Intel Celeron Dual Core N3350 1.1GHz,"419,00"
Intel Core i5 7300HQ 2.5GHz,"2051,00"
Intel Core i3 6006U 2GHz,"699,00"
Intel Core i7 8550U 1.8GHz,"1499,00"
Intel Core i7 7820HK 2.9GHz,"2813,75"
Intel Core i5 7200U 2.5GHz,"612,61"
Intel Core i3 6006U 2GHz,"545,67"
AMD A10-Series 9600P 2.4GHz,"569,00"
Intel Celeron Dual Core 3855U 1.6GHz,"318,00"
Intel Celeron Dual Core 3855U 1.6GHz,"375,00"
Intel Core i5 7200U 2.5GHz,"699,00"
Intel Core i7 7700HQ 2.8GHz,"1907,99"
Intel Core i7 7500U 2.7GHz,"2590,00"
Intel Core i5 7200U 2.5GHz,"973,00"
Intel Celeron Dual Core N3050 1.6GHz,"269,00"
Intel Core i7 7500U 2.7GHz,"1749,00"
Intel Core M M3-6Y30 0.9GHz,"669,00"
Intel Core i7 6500U 2.5GHz,"1877,00"
Intel Core i7 7500U 2.7GHz,"689,00"
Intel Core i5 7300HQ 2.5GHz,"819,00"
AMD A9-Series 9420 2.9GHz,"399,00"
AMD A12-Series 9720P 3.6GHz,"429,00"
Intel Core i5 7200U 2.5GHz,"621,45"
Intel Core i3 6006U 2GHz,"450,00"
Intel Core i5 7200U 2.5GHz,"795,00"
Intel Core i5 8250U 1.6GHz,"999,00"
Intel Core i7 6500U 2.5GHz,"1855,00"
Intel Core i5 6300HQ 2.3GHz,"1191,00"
AMD A10-Series 9620P 2.5GHz,"655,01"
Intel Core i7 7700HQ 2.8GHz,"1249,00"
Intel Core i5 7440HQ 2.8GHz,"1089,00"
Intel Core i5 7200U 2.5GHz,"726,00"
Intel Celeron Dual Core N3350 1.1GHz,"298,00"
Intel Core i5 7300U 2.6GHz,"1426,66"
Intel Core i5 7200U 2.5GHz,"857,07"
Intel Core i5 7300U 2.6GHz,"1179,00"
AMD A6-Series 7310 2GHz,"298,00"
Intel Atom Z8350 1.92GHz,"265,00"
Intel Core i7 7500U 2.7GHz,"1200,00"
Intel Core i7 6500U 2.5GHz,"1686,64"
Intel Core i5 7200U 2.5GHz,"836,60"
Intel Core i5 7200U 2.5GHz,"1499,00"
Intel Core i7 7700HQ 2.8GHz,"3659,40"
Intel Core i7 7700HQ 2.8GHz,"1348,48"
Intel Core i5 7200U 2.5GHz,"489,90"
Intel Core i5 8250U 1.6GHz,"719,00"
Intel Core i3 7100U 2.4GHz,"649,00"
Intel Core i5 7200U 2.5GHz,"589,52"
AMD A9-Series 9420 3GHz,"489,00"
Intel Core i7 6700HQ 2.6GHz,"1935,00"
Intel Core i5 7200U 2.5GHz,"649,00"
AMD A9-Series A9-9420 3GHz,"650,00"
Intel Core i5 7200U 2.5GHz,"559,00"
Intel Core i5 7200U 2.5GHz,"960,00"
Intel Core i7 7500U 2.7GHz,"779,00"
Intel Core i7 7700HQ 2.8GHz,"2419,00"
Intel Core i5 8250U 1.6GHz,"659,00"
Intel Core i7 7700HQ 2.8GHz,"2094,48"
Intel Core i3 6006U 2GHz,"410,80"
Intel Core i7 7500U 2.7GHz,"1207,00"
Intel Core i3 6006U 2GHz,"665,00"
Intel Core i5 7200U 2.5GHz,"1535,00"
Intel Core i5 7200U 2.5GHz,"999,00"
Intel Core i7 7600U 2.8GHz,"3299,00"
Intel Celeron Dual Core N3060 1.6GHz,"330,00"
Intel Core i7 7500U 2.7GHz,"1649,00"
Intel Core i3 6006U 2GHz,"539,00"
Intel Core i5 7200U 2.5GHz,"1126,71"
Intel Xeon E3-1535M v5 2.9GHz,"4389,00"
Intel Celeron Dual Core N3060 1.6GHz,"475,00"
Intel Core i5 6300U 2.4GHz,"1900,00"
Intel Core i5 6300HQ 2.3GHz,"579,00"
Intel Core i5 6200U 2.3GHz,"1096,00"
Intel Core i7 7500U 2.7GHz,"849,90"
Intel Core i5 6260U 1.8GHz,"1199,00"
Intel Core i5 7300HQ 2.5GHz,"1099,00"
Intel Core i7 6700HQ 2.6GHz,"1561,00"
Intel Core i7 7700HQ 2.8GHz,"2868,99"
Intel Core i5 7200U 2.5GHz,"599,00"
Intel Core i7 7700HQ 2.8GHz,"1048,00"
Intel Core i7 7600U 2.8GHz,"1859,00"
Intel Core i5 7Y57 1.2GHz,"1559,00"
Intel Core i5 7200U 2.5GHz,"1129,00"
Intel Core i3 6006U 2GHz,"849,00"
Intel Core i5 6200U 2.3GHz,"655,00"
Intel Pentium Quad Core N4200 1.1GHz,"470,34"
Intel Core i7 6700HQ 2.6GHz,"1099,00"
Intel Core i7 7500U 2.7GHz,"1599,00"
Intel Pentium Quad Core N4200 1.1GHz,"298,00"
Intel Core i7 7500U 2.7GHz,"1181,27"
Intel Core i7 7500U 2.7GHz,"1799,00"
Intel Core i5 6200U 2.3GHz,"1020,00"
Intel Core i7 7700HQ 2.8GHz,"1099,00"
Intel Core i5 6200U 2.3GHz,"1244,00"
Intel Core i7 7500U 2.7GHz,"839,00"
Intel Core i7 6820HQ 2.7GHz,"2370,00"
Intel Core i3 7100U 2.4GHz,"636,00"
Intel Core i7 7700HQ 2.8GHz,"2899,00"
Intel Pentium Dual Core N4200 1.1GHz,"581,90"
Intel Core i7 7700HQ 2.8GHz,"3588,80"
Intel Core i7 6700HQ 2.6GHz,"2350,00"
Intel Core i7 6600U 2.6GHz,"1764,00"
Intel Celeron Quad Core N3710 1.6GHz,"329,00"
Intel Core i7 7500U 2.7GHz,"2299,00"
Intel Core i7 7700HQ 2.8GHz,"1891,00"
Intel Core i5 7300HQ 2.5GHz,"1089,00"
Intel Core i7 7700HQ 2.8GHz,"999,00"
Intel Core i7 7700HQ 2.8GHz,"2299,00"
Intel Core i5 7300HQ 2.5GHz,"985,00"
Intel Core i7 7700HQ 2.8GHz,"1339,00"
Intel Celeron Dual Core N3350 1.1GHz,"202,90"
Intel Core i7 7500U 2.7GHz,"1970,00"
Intel Core i5 7200U 2.5GHz,"959,00"
Intel Core M 1.2GHz,"1165,00"
Intel Core i5 7200U 2.5GHz,"2330,00"
Intel Celeron Dual Core N3350 1.1GHz,"299,00"
Intel Core i5 7200U 2.5GHz,"810,00"
Intel Core i7 7500U 2.7GHz,"1349,00"
Intel Core i3 6006U 2GHz,"739,00"
Intel Core i7 7700HQ 2.8GHz,"2064,90"
Intel Core i5 7200U 2.5GHz,"1099,00"
Intel Core i5 7200U 2.5GHz,"1499,00"
Intel Core i5 7300HQ 2.5GHz,"1749,00"
Intel Pentium Quad Core N4200 1.1GHz,"744,00"
Intel Core i5 7300U 2.6GHz,"1389,00"
Intel Core i5 6200U 2.3GHz,"780,00"
AMD A12-Series 9700P 2.5GHz,"629,00"
Intel Core i7 7700HQ 2.8GHz,"1679,00"
Intel Core i5 7200U 2.5GHz,"609,00"
Intel Core i7 7700HQ 2.8GHz,"1749,00"
Intel Core i7 7700HQ 2.8GHz,"2415,00"
Intel Core i5 7200U 2.5GHz,"1499,00"
Intel Core i7 7500U 2.7GHz,"961,00"
Intel Core i5 7200U 2.5GHz,"789,81"
Intel Core i7 7500U 2.7GHz,"1859,00"
Intel Core i7 7500U 2.5GHz,"1799,00"
Intel Celeron Dual Core N3060 1.6GHz,"385,00"
Intel Core i7 7700HQ 2.8GHz,"2505,02"
Intel Core i5 6200U 2.3GHz,"755,00"
Intel Core i3 6006U 2GHz,"489,90"
Intel Core i5 7200U 2.5GHz,"1090,00"
Intel Core i7 7500U 2.7GHz,"2499,00"
Intel Core i5 7300HQ 2.5GHz,"1199,00"
Intel Core i5 7200U 2.5GHz,"1875,00"
Intel Pentium Dual Core 4405U 2.1GHz,"499,00"
Intel Core i5 7200U 2.5GHz,"1358,00"
Intel Core i3 6006U 2GHz,"585,00"
Intel Celeron Dual Core N3060 1.6GHz,"355,00"
Intel Core i3 7100U 2.4GHz,"619,00"
Intel Core i7 7820HK 2.9GHz,"5499,00"
Intel Core i7 6600U 2.6GHz,"2099,00"
Intel Core i5 7200U 2.5GHz,"519,00"
Intel Core i5 6200U 2.3GHz,"1186,00"
Intel Core i5 7300U 2.6GHz,"1650,00"
Intel Core i7 7700HQ 2.8GHz,"2774,63"
Intel Core i7 7700HQ 2.8GHz,"2419,00"
Intel Core i3 7100U 2.4GHz,"669,00"
Intel Celeron Quad Core N3160 1.6GHz,"325,00"
Intel Core i5 7200U 2.5GHz,"590,00"
Intel Core i7 6700HQ 2.6GHz,"1799,00"
Intel Core i7 7700HQ 2.8GHz,"3072,89"
Intel Core i5 7200U 2.5GHz,"910,00"
Intel Core i5 7200U 2.5GHz,"713,99"
Intel Core i7 6500U 2.5GHz,"1870,00"
Intel Core i7 7500U 2.7GHz,"739,00"
Intel Celeron Dual Core N3350 1.1GHz,"615,00"
Intel Core i5 6200U 2.3GHz,"1026,00"
Intel Core i5 7200U 2.5GHz,"2277,00"
Intel Core i7 6500U 2.5GHz,"1468,00"
Intel Celeron Dual Core N3060 1.6GHz,"299,00"
Intel Core i7 7700HQ 2.8GHz,"1899,00"
Intel Core i7 7500U 2.7GHz,"865,00"
Intel Core i7 7700HQ 2.8GHz,"1903,00"
Intel Core i7 7500U 2.7GHz,"787,00"
Intel Core i5 7200U 2.5GHz,"945,00"
Intel Pentium Quad Core N4200 1.1GHz,"449,00"
Intel Core i7 7600U 2.8GHz,"2559,00"
Intel Core i5 6200U 2.3GHz,"649,00"
Intel Core i3 6006U 2.0GHz,"469,00"
Intel Core i5 7200U 2.5GHz,"850,66"
Intel Core i5 7300U 2.6GHz,"1349,00"
Intel Core i5 7200U 2.5GHz,"1285,00"
Intel Core i5 7300HQ 2.5GHz,"1017,00"
Intel Core i7 7660U 2.5GHz,"2240,00"
Intel Core i5 6200U 2.3GHz,"910,00"
Intel Core i5 6200U 2.3GHz,"1095,00"
Intel Core i7 7500U 2.7GHz,"1950,00"
Intel Core i5 7200U 2.5GHz,"902,00"
Intel Core i7 7700HQ 2.8GHz,"1778,00"
Intel Core i5 7200U 2.5GHz,"1055,00"
Intel Core i3 6006U 2GHz,"479,00"
Intel Core i7 7500U 2.7GHz,"1388,00"
Intel Core i3 7100U 2.4GHz,"735,00"
Intel Core i7 7500U 2.7GHz,"1849,00"
Intel Core i7 7600U 2.8GHz,"1690,00"
Intel Pentium Quad Core N4200 1.1GHz,"398,99"
Intel Core i5 6200U 2.3GHz,"935,00"
Intel Core i5 7200U 2.5GHz,"912,50"
Intel Core i5 7200U 2.5GHz,"839,00"
Intel Core i5 7200U 2.5GHz,"1700,00"
Intel Core i5 7200U 2.5GHz,"684,80"
Intel Celeron Dual Core N3350 1.1GHz,"348,00"
Intel Core i7 6500U 2.5GHz,"669,00"
Intel Pentium Quad Core N3710 1.6GHz,"369,00"
Intel Core i5 7200U 2.5GHz,"1799,00"
Intel Core i3 6006U 2.0GHz,"455,70"
Intel Core i5 7300HQ 2.5GHz,"1369,90"
Intel Celeron Dual Core N3060 1.6GHz,"297,00"
AMD A4-Series 7210 2.2GHz,"379,00"
Intel Core i5 7200U 2.5GHz,"1265,00"
Intel Core i7 7500U 2.7GHz,"1399,00"
Intel Core i7 7500U 2.7GHz,"1699,00"
Intel Core i5 7200U 2.5GHz,"1799,00"
Intel Core i7 6700HQ 2.6GHz,"2649,00"
Intel Core i5 7200U 2.5GHz,"1475,00"
Intel Core i7 7700HQ 2.8GHz,"929,00"
Intel Core i7 7500U 2.7GHz,"900,00"
Intel Core i3 6006U 2.0GHz,"614,00"
Intel Core i5 7300U 2.6GHz,"935,00"
Intel Core i7 7Y75 1.3GHz,"2013,10"
Intel Core i7 6820HK 2.7GHz,"1279,00"
Intel Core i7 7Y75 1.3GHz,"1649,00"
Intel Core i7 7500U 2.7GHz,"2049,00"
Intel Core i5 7200U 2.5GHz,"1962,99"
Intel Core i7 7500U 2.7GHz,"2099,00"
Intel Core i7 7500U 2.7GHz,"1483,00"
Intel Celeron Dual Core 3205U 1.5GHz,"359,00"
Intel Core i5 6300HQ 2.3GHz,"789,00"
Intel Core i7 7500U 2.7GHz,"1899,00"
Intel Core i5 7440HQ 2.8GHz,"1205,00"
Intel Core M 6Y75 1.2GHz,"3100,00"
Intel Core i7 7500U 2.7GHz,"789,00"
Intel Core i7 7500U 2.7GHz,"1018,99"
Intel Core i3 7100U 2.4GHz,"499,00"
Intel Core i5 7200U 2.5GHz,"881,00"
Intel Core i5 7200U 2.5GHz,"960,00"
Intel Core i7 7700HQ 2.8GHz,"1599,00"
Intel Core i7 7700HQ 2.8GHz,"1349,00"
Intel Core i5 7300HQ 2.5GHz,"1119,91"
Intel Core i5 7200U 2.5GHz,"684,99"
Intel Core i7 6500U 2.5GHz,"1296,99"
Intel Core i7 7500U 2.7GHz,"1149,00"
Intel Core i7 6600U 2.6GHz,"1975,00"
Intel Core i5 7200U 2.5GHz,"1825,00"
Intel Core i5 6200U 2.3GHz,"729,90"
Intel Core i7 7500U 2.7GHz,"1650,00"
Intel Core i5 6200U 2.3GHz,"1165,00"
Intel Core i5 7200U 2.5GHz,"708,06"
Intel Core i5 6200U 2.3GHz,"1149,00"
Intel Pentium Quad Core N4200 1.1GHz,"309,00"
Intel Core i5 6200U 2.3GHz,"1579,00"
Intel Celeron Dual Core N3060 1.6GHz,"288,90"
Intel Core i7 6560U 2.2GHz,"1799,00"
Intel Core i5 6200U 2.3GHz,"1105,00"
Intel Core i5 6200U 2.3GHz,"1669,00"
Intel Core i3 6006U 2.0GHz,"558,60"
Intel Core i7 7700HQ 2.8GHz,"1199,00"
Intel Core i5 7200U 2.5GHz,"1639,00"
Intel Core i7 6820HK 2.7GHz,"2758,00"
Intel Core i5 6300HQ 2.3GHz,"1399,00"
Intel Pentium Quad Core N3710 1.6GHz,"530,00"
Intel Core i5 7200U 2.5GHz,"619,00"
Intel Core i5 6200U 2.3GHz,"1119,00"
Intel Core M m7-6Y75 1.2GHz,"1299,00"
AMD FX 8800P 2.1GHz,"999,00"
Intel Core i5 7200U 2.5GHz,"1472,20"
Intel Core i7 7500U 2.7GHz,"685,00"
Intel Core i3 6006U 2.0GHz,"659,00"
Intel Celeron Dual Core N3060 1.6GHz,"349,00"
Intel Core i7 6820HQ 2.7GHz,"2249,00"
Intel Core i7 7600U 2.8GHz,"1775,00"
Intel Core i5 6200U 2.3GHz,"1460,00"
Intel Core M M7-6Y75 1.2GHz,"1159,00"
Intel Core i7 6600U 2.6GHz,"1488,99"
Intel Core i7 7700HQ 2.8GHz,"3154,00"
Intel Core i5 7Y54 1.2GHz,"1899,00"
Intel Pentium Quad Core N4200 1.1GHz,"775,00"
Intel Core i7 6500U 2.5GHz,"1268,00"
Intel Celeron Dual Core N3060 1.6GHz,"389,00"
Intel Core i5 6300U 2.4GHz,"1535,00"
Intel Core i5 7300U 2.6GHz,"1760,00"
Intel Core i5 7200U 2.5GHz,"1009,00"
Intel Core i7 7500U 2.7GHz,"1790,00"
Intel Core i5 7200U 2.50GHz,"846,50"
Intel Core i3 6006U 2.0GHz,"465,62"
Intel Core i5 7200U 2.5GHz,"825,00"
Intel Core i3 7100U 2.4GHz,"685,00"
Intel Core i7 7700HQ 2.8GHz,"3149,00"
Intel Core i5 7200U 2.5GHz,"695,00"
Intel Core i7 7Y75 1.3GHz,"1899,00"
Intel Core i7 6600U 2.6GHz,"1962,98"
Intel Core i7 6700HQ 2.6GHz,"2800,00"
Intel Core i5 6200U 2.3GHz,"1180,00"
Intel Core i7 7700HQ 2.8GHz,"2049,90"
Intel Core i5 7200U 2.70GHz,"979,00"
Intel Core i5 6200U 2.3GHz,"1002,00"
Intel Core i7 7500U 2.7GHz,"1799,00"
Intel Core i7 7500U 2.7GHz,"579,00"
Intel Core i7 7700HQ 2.8GHz,"1749,00"
Intel Core i7 7500U 2.7GHz,"1299,00"
Intel Core i5 6200U 2.3GHz,"1195,00"
AMD A12-Series 9720P 3.6GHz,"549,00"
Intel Core i5 6200U 2.3GHz,"649,00"
Intel Core i5 6200U 2.3GHz,"915,00"
Intel Core i5 7200U 2.5GHz,"599,00"
Intel Core i5 7200U 2.5GHz,"806,00"
Intel Core i7 7700HQ 2.8GHz,"1189,00"
Intel Core i7 7500U 2.7GHz,"749,00"
Intel Core i5 7200U 2.5GHz,"1119,00"
Intel Core M 6Y75 1.2GHz,"1908,00"
Intel Core i3 6006U 2GHz,"499,00"
Intel Celeron Dual Core N3350 1.1GHz,"270,62"
Intel Core i5 6200U 2.3GHz,"1349,00"
Intel Core i5 7200U 2.5GHz,"889,00"
Intel Core i5 7200U 2.5GHz,"1150,00"
Intel Core i7 7500U 2.7GHz,"1349,00"
Intel Pentium Quad Core N4200 1.1GHz,"380,00"
Intel Core i7 7700HQ 2.8GHz,"1799,00"
Intel Core i7 7500U 2.7GHz,"2089,00"
Intel Core i7 7700HQ 2.8GHz,"1260,00"
Intel Core i5 7200U 2.5GHz,"1189,00"
Intel Core i3 7100U 2.4GHz,"547,00"
Intel Core i5 7200U 2.5GHz,"779,00"
Intel Core i5 6200U 2.3GHz,"1195,00"
Intel Core i5 6300U 2.4GHz,"1099,99"
Intel Core i5 7200U 2.5GHz,"1205,00"
Intel Core i7 6600U 2.6GHz,"1449,00"
Intel Core i5 7200U 2.5GHz,"1049,26"
Intel Core i3 7100U 2.4GHz,"684,00"
Intel Core i5 7300HQ 2.5GHz,"949,00"
Intel Core i5 7200U 2.5GHz,"1539,00"
Intel Core i5 7200U 2.5GHz,"1590,00"
Intel Core i7 6500U 2.5GHz,"1887,21"
Intel Core i3 7100U 2.4GHz,"800,00"
Intel Core i5 6200U 2.3GHz,"1210,00"
Intel Core i3 7100U 2.4GHz,"769,99"
Intel Core i7 6820HQ 2.7GHz,"2968,00"
Intel Core i5 6200U 2.3GHz,"1490,00"
Intel Core i7 6500U 2.5GHz,"2229,00"
Intel Core i3 6100U 2.3GHz,"795,99"
Intel Core i5 6200U 2.3GHz,"1590,00"
Intel Core i5 7200U 2.5GHz,"1149,00"
Intel Core i7 7500U 2.7GHz,"1185,43"
Intel Core i5 6300U 2.4GHz,"1046,44"
Intel Core i5 7200U 2.5GHz,"1559,00"
Intel Core i5 7200U 2.5GHz,"1189,00"
Intel Core i5 7200U 2.5GHz,"1060,00"
Intel Core i5 7200U 2.5GHz,"1624,00"
Intel Core i5 7200U 2.5GHz,"1080,00"
Intel Core i5 7200U 2.5GHz,"973,00"
AMD A9-Series 9420 3GHz,"409,00"
Intel Core i7 7700HQ 2.8GHz,"1191,80"
Intel Core i5 6200U 2.3GHz,"1195,00"
Intel Core i7 6500U 2.5GHz,"1228,99"
Intel Core i7 6500U 2.5GHz,"1349,00"
Intel Core i5 7200U 2.5GHz,"742,00"
Intel Core i7 6600U 2.6GHz,"1725,00"
Intel Core i5 6300U 2.4GHz,"1062,95"
Intel Core i5 7200U 2.5GHz,"1010,51"
Intel Core i7 6500U 2.5GHz,"847,00"
Intel Atom X5-Z8350 1.44GHz,"210,80"
Intel Core i7 6500U 2.5GHz,"1425,00"
Intel Core i5 6200U 2.3GHz,"1049,60"
Intel Core i5 6200U 2.3GHz,"1000,00"
Intel Core i5 6300U 2.4GHz,"2103,34"
Intel Core i5 6200U 2.3GHz,"1469,00"
Intel Core i7 6820HK 2.7GHz,"1545,64"
Intel Core i7 6700HQ 2.6GHz,"2289,99"
Intel Celeron Dual Core N3060 1.6GHz,"287,90"
Intel Core i7 6600U 2.6GHz,"2620,00"
Intel Core i7 7500U 2.7GHz,"979,00"
Intel Core i5 7200U 2.7GHz,"1094,00"
Intel Core i5 7200U 2.5GHz,"979,00"
Intel Core i7 7500U 2.7GHz,"2254,00"
Intel Core i3 6100U 2.3GHz,"705,15"
Intel Core i5 7200U 2.5GHz,"499,00"
AMD A8-Series 7410 2.2GHz,"449,00"
Intel Core i7 7500U 2.7GHz,"1299,00"
Intel Core i7 6700HQ 2.6GHz,"1819,00"
Intel Core i7 7500U 2.7GHz,"1070,00"
Intel Core i7 6700HQ 2.6GHz,"998,00"
Intel Core i5 7200U 2.5GHz,"559,00"
Intel Core i7 7500U 2.7GHz,"989,99"
Intel Core i7 6700HQ 2.6GHz,"1929,00"
Intel Core i7 7500U 2.7GHz,"1458,00"
Intel Core i7 6820HK 2.7GHz,"3975,00"
Intel Core i7 6500U 2.5GHz,"798,01"
Intel Core i7 6700HQ 2.6GHz,"1329,00"
Intel Core M 1.1GHz,"1300,00"
Intel Core i3 6100U 2.3GHz,"481,98"
Intel Core i5 6200U 2.3GHz,"1199,00"
